CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2020 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of .GDP ;Country;Population (Millions);GDP (Billions. PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
11;Bahrain;Bahrain;Middle East and North Africa;63;4;66.3;70.6;48.4;51.0;99.4;66.1;2.6;70.5;71.1;81.1;79.4;75;80;7.8;0.0;0.0;7.8;33.6;Bahrain;1.5;$74.1 ;1.8;3.3;$50.057;1.0;2.1;1.515.2;93.4
12;Bangladesh;Bangladesh;Asia-Pacific;122;29;56.4;41.0;36.1;26.6;72.7;94.3;76.8;52.3;68.4;70.0;63.6;45;30;10.7;25.0;45.0;9.1;13.7;Bangladesh;164.9;$761.7 ;7.7;7.1;$4.620;4.3;5.6;3.613.3;34.8
13;Barbados;Barbados;Americas;92;17;61.4;56.6;36.1;44.0;73.6;69.2;63.1;69.4;60.0;77.9;56.6;70;60;14.2;40.0;5.5;31.8;32.0;Barbados;0.3;$5.3 ;-0.5;0.7;$18.534;9.6;3.6;195.1;124.5
14;Belarus;Belarus;Europe;88;41;61.7;63.2;48.4;37.4;88.8;54.1;95.4;76.4;74.8;69.8;82.0;30;20;1.5;13.0;18.0;25.1;39.1;Belarus;9.5;$189.2 ;3.0;0.2;$20.003;5.7;4.9;1.469.4;47.8
15;Belgium;Belgium;Europe;48;26;68.9;84.5;62.5;80.2;46.7;17.2;77.0;75.2;61.1;80.5;86.4;85;70;1.8;50.0;29.0;44.6;52.5;Belgium;11.4;$550.5 ;1.4;1.5;$48.245;6.3;2.3;4.872.6;101.4
16;Belize;Belize;Americas;111;22;57.4;44.4;46.4;33.5;79.5;66.3;53.9;60.9;54.3;80.4;64.2;55;50;10.4;25.0;25.0;28.2;33.5;Belize;0.4;$3.4 ;3.0;2.2;$8.501;9.4;0.3;119.5;94.8
17;Benin;Benin;Sub-Saharan Africa;133;24;55.2;41.3;36.4;29.6;69.0;84.2;46.6;58.0;53.7;84.3;49.4;60;50;17.8;45.0;30.0;13.2;23.0;Benin;11.4;$27.7 ;6.5;5.0;$2.426;2.1;1.0;207.5;54.6
18;Bhutan;Bhutan;Asia-Pacific;85;17;62.1;69.9;46.4;51.2;82.9;71.1;74.8;68.2;79.4;71.6;79.4;20;30;2.8;25.0;30.0;13.6;31.1;Bhutan;0.8;$7.8 ;5.8;6.1;$9.540;2.2;3.6;5.9;102.6
19;Bolivia;Bolivia;Americas;175;30;42.8;20.1;11.2;23.1;86.3;54.2;14.2;58.3;52.9;69.9;67.8;15;40;6.1;13.0;25.0;23.9;39.1;Bolivia;11.2;$84.1 ;4.3;4.6;$7.477;3.3;2.3;255.1;53.9
20;Bosnia and Herzegovina;BosniaHerzegovina;Europe;82;38;62.6;44.4;33.9;41.8;83.6;49.3;97.3;45.7;67.4;82.7;80.0;65;60;2.5;10.0;10.0;37.9;41.1;Bosnia and Herzegovina;3.5;$47.3 ;3.1;2.7;$13.491;20.8;1.4;467.7;37.0
21;Botswana;Botswana;Sub-Saharan Africa;40;3;69.6;60.9;45.2;46.4;87.0;69.1;97.5;69.3;68.2;73.6;82.8;65;70;1.1;25.0;22.0;14.0;32.1;Botswana;2.3;$41.9 ;4.6;2.9;$17.965;17.9;3.2;228.7;12.9
22;Brazil;Brazil;Americas;144;25;53.7;57.3;46.7;45.6;70.4;54.6;4.6;60.5;49.5;77.2;67.8;60;50;8.6;27.5;34.0;32.3;38.9;Brazil;208.3;$3.365.3 ;1.1;-0.8;$16.154;12.5;3.7;61.223.0;87.9
